img,model_name,price,rating,specs_score,generation,core_and_thread,ram,rom,graphic_card,size_and_resolution,os,warranty
https://cdn1.smartprix.com/rx-iyxpbpKYm-w280-h280/acer-aspire-3-a325-4.webp,Acer Aspire 3 A325-42 Laptop (AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win11),"₹28,990",4.25,50Spec Score,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,AMD Radeon Graphics,"15.8 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iWS6NfrWN-w280-h280/lenovo-ideapad-slim.webp,Lenovo IdeaPad Slim 3 14AMN8 82XN006TIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,490",4.25,50Spec Score,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iUMIJg1DR-w280-h280/hp-15-fc1004au-lapto.webp,HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),"₹41,790",4.5,61Spec Score,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i68q9IjY8-w280-h280/dell-2024-inspiron-3.webp,Dell 2024 Inspiron 3530 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹51,990",4.65,51Spec Score,13th Gen Intel Core i5 1334U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i15FKzUIM-w280-h280/lenovo-ideapad-slim.webp,Lenovo Ideapad Slim 5x Gen 9 14Q8X9 83HL0035IN Laptop (Snapdragon X Plus/ 16GB/ 1TB SSD/ Win11),"₹72,000",4.65,39Spec Score,Qualcomm Snapdragon X Plus X1P-42-100,16 GB LPDDR5X RAM,1 TB SSD,Qualcomm Adreno,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,2 USB 3.0 Ports
https://cdn1.smartprix.com/rx-iEibi3Pl3-w280-h280/asus-vivobook-16x-k3.webp,Asus Vivobook 16X K3605ZU-RP304WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),"₹73,990",4.75,69Spec Score,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i4FQEaQYl-w280-h280/gigabyte-g5-mf5-h2in.webp,Gigabyte G5 MF5-H2IN353KH Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹75,750",4.7,72Spec Score,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
https://cdn1.smartprix.com/rx-i8JhpITwj-w280-h280/acer-15-aspire-lite.webp,Acer 15 Aspire Lite AL15-41 Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11),"₹34,490",4.3,56Spec Score,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iM3fSh2kI-w280-h280/msi-modern-15-h-c13m.webp,MSI Modern 15 H C13M-218IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹54,956",4.35,54Spec Score,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iCseuPQlD-w280-h280/lenovo-v15-g2-lapto.webp,‎Lenovo V15 G2 Laptop (Celeron N4500/ 8GB/ 256GB SSD/ Win11),"₹23,999",4.75,38Spec Score,Intel Celeron N4500,"Dual Core, 2 Threads",8 GB RAM,256 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
