Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
HP,Windows 11 ,128.0,7th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0007653061224489796
HP,Windows 11 ,192.0,13th Gen,16.0,LPDDR5X,512,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0008118602188492763
Dell,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011949851133210459
Infinix,Windows 11 ,96.0,12th Gen,16.0,LPDDR5X,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009847668872134175
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008277003724651677
Dell,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009644579389176638
Asus,Windows 11 ,,13th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0005983366241847664
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010824967263203841
Samsung,Windows 11 ,120.0,13th Gen,16.0,LPDDR4X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008873514814257783
Lenovo,Windows 11 ,72.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014562002275312856
HP,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0013244763224386665
HP,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0011877474473848718
Asus,Windows 11 ,72.0,11th Gen,8.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0012655644008981424
Asus,Windows 11 ,48.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0015004167824395666
Dell,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0015770762609927562
Asus,Windows 11 ,192.0,13th Gen,16.0,LPDDR5,1024,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.0009494930932034672
Asus,Windows 11 ,192.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.000992580057276751
Acer,Windows 11 ,32.0,11th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0015250381259531488
Acer,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007111190124334715
Acer,Windows 11 ,96.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007875098438730484
Lenovo,Windows 11 ,32.0,7th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0017782182835820895
Asus,Windows 11 ,32.0,7th Gen,16.0,LPDDR5,512,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.001350337584396099
Asus,Chrome ,4.0,Intel Celeron,4.0,LPDDR4X,64,eMMC Storage,Intel,Integrated,0,Medium,Standard HD,low,0.0016008004002001002
Lenovo,Windows 11 ,160.0,13th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007558330594807756
MSI,Windows 11 ,384.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0006435342203669884
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009673717002787343
HP,Windows 11 ,160.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0008988479554373971
Asus,Windows 11 ,160.0,Intel Core,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0005909628148013455
Acer,Windows 11 ,252.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000968765136955265
Asus,Windows 11 ,160.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007821515578920374
