Img,Name,Price,Rating(out of 5),Specs_Score(out of 100),OS,Core,Thread,Screen_Size(in inches),Screen_Resolution(in pixels),Touch_Screen,warranty(in years),RAM_size,RAM_technology,GPU_Brand,GPU_Model,GPU_VRAM,GPU_Type,Capacity,Storage_Type,Generation,Brand,Family,Model
https://cdn1.smartprix.com/rx-io9tEpBoF-w280-h280/dell-inspiron-14-544.webp,Dell Inspiron 14 5440 INDINS5440N0-1 ,33900,4.2,42,Windows 11 ,5.0,6.0,14 , 1920 x 1200 ,0,1,16 ,RAM,Intel,Graphics,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i3,1305U
https://cdn1.smartprix.com/rx-iDnqocPnb-w280-h280/motorola-motobook-60.webp,Motorola Motobook 60 Pro 83NY000AIN ,64990,4.35,59,Windows 11 ,14.0,14.0,14 , 2880 x 1880 ,0,1,16 ,DDR5,Intel,Integrated Graphics,Shared/Unknown,Integrated,1 TB,SSD,Intel Core Ultra,Intel,,225H
https://cdn1.smartprix.com/rx-iZpUhFvh1-w280-h280/acer-aspire-3-2025-a.webp,Acer Aspire 3 2025 A325-53 ,41499,4.45,55,Windows 11 ,10.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,Intel,UHD Graphics,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i5,1334U
https://cdn1.smartprix.com/rx-iKhXwIsow-w280-h280/hp-victus-15-fa2191t.webp,HP Victus 15-fa2191TX Gaming ,66490,4.45,63,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,NVIDIA,GeForce RTX 3050A,4 GB,Dedicated,512 GB,SSD,13th Gen,Intel,Core i5,13420H
https://cdn1.smartprix.com/rx-i3tMVPdKE-w280-h280/lenovo-yoga-book-9-2.webp,Lenovo Yoga Book 9 2025 83KJ000QIN ,232000,4.0,80,Windows 11 ,16.0,16.0,14 , 2880 x 1800 ,1,3,32 ,LPDDR5x,Intel,Integrated Graphics,Shared/Unknown,Integrated,1 TB,SSD,Intel Core Ultra,Intel,,285H
https://cdn1.smartprix.com/rx-i8tTwBgWj-w280-h280/asus-tuf-gaming-f16.webp,Asus TUF Gaming F16 FX677VB-RL097WS ,82500,4.3,65,Windows 11 ,8.0,12.0,16 , 1920 x 1200 ,0,1,32 ,DDR4,NVIDIA,GeForce RTX 3050A,4 GB,Dedicated,1 TB,SSD,Intel Core,Intel,,210H
https://cdn1.smartprix.com/rx-imzKQZj1u-w280-h280/hp-victus-15-fb3120a.webp,HP Victus 15-fb3120AX Gaming ,76900,4.75,65,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7445H
https://cdn1.smartprix.com/rx-iXutqaoFt-w280-h280/lenovo-loq-15arp9-83.webp,Lenovo LOQ ‎15ARP9 83JC00GDIN AI Gaming ,70190,4.55,70,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,24 ,DDR5,NVIDIA,GeForce RTX 3050 A,4 GB,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7435HS
https://cdn1.smartprix.com/rx-iZG6taxtN-w280-h280/samsung-galaxy-book.webp,Samsung Galaxy Book 5 np750xhd-kd1in ,77990,4.2,54,Windows 11 ,,,15.6 , 1920 x 1080 ,0,1,16 ,LPDDR5X,Intel,Graphics,Shared/Unknown,Integrated,512 GB,SSD,Intel Core Ultra,Intel,,225U
https://cdn1.smartprix.com/rx-iKjrv2HOs-w280-h280/motorola-motobook-60.webp,Motorola Motobook 60 ,59990,4.15,56,Windows 11 ,8.0,12.0,14 , 2880 x 1880 ,0,1,16 ,DDR5,Intel,Integrated,Shared/Unknown,Integrated,512 GB,SSD,Intel Core,Intel,,210H
https://cdn1.smartprix.com/rx-iWVVWJTkA-w280-h280/hp-255-g10-laptop-am.webp,HP 255 G10 ,43999,4.25,55,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7730U
https://cdn1.smartprix.com/rx-i4JMMyBqQ-w280-h280/hp-255-g10-laptop-am.webp,HP 255 G10 ,28795,4.4,50,Windows 11 ,4.0,8.0,15.6 , 1366 x 768 ,0,1,8 ,DDR4,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 5,7520U
https://cdn1.smartprix.com/rx-iQ86Mvrtk-w280-h280/lenovo-loq-15arp9-83.webp,Lenovo LOQ 15ARP9 83JC00EHIN Gaming ,93490,4.35,72,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,24 ,DDR5,NVIDIA,GeForce RTX 4060,8 GB,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7435HS
https://cdn1.smartprix.com/rx-iwg5jo1rH-w280-h280/asus-tuf-gaming-a15.webp,Asus TUF Gaming A15 FA507NUR-LP082W Gaming ,82990,4.55,73,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 4050,6 GB,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 7,7435HS
https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp,Acer Aspire 7 A715-79G UN.34NSI.002 Gaming ,54990,4.45,62,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,NVIDIA,GeForce RTX 2050,4 GB,Dedicated,512 GB,SSD,13th Gen,Intel,Core i5,13420H
https://cdn1.smartprix.com/rx-iv0oRgUsR-w280-h280/acer-aspire-3-a324-5.webp,Acer Aspire 3 A324-51 ,29990,4.1,51,Windows 11 ,6.0,8.0,14 , 1920 x 1080 ,0,1,8 ,DDR4,Intel,Integrated UHD,Shared/Unknown,Integrated,512 GB,SSD,12th Gen,Intel,Core i3,1215U
https://cdn1.smartprix.com/rx-iTFistJvx-w280-h280/hp-victus-15-fa2308t.webp,HP Victus 15-fa2308TX Gaming ,118490,4.3,70,Windows 11 ,10.0,16.0,15.6 , 1920 x 1080 ,0,1,24 ,DDR5,NVIDIA,GeForce RTX 5060,8 GB,Dedicated,1 TB,SSD,13th Gen,Intel,Core i7,13620H
https://cdn1.smartprix.com/rx-iCAh8oDdL-w280-h280/asus-vivobook-s16-s3.webp,Asus Vivobook S16 S3607CA-SH077WS ,98990,4.7,66,Windows 11 ,16.0,16.0,16 , 1920 x 1200 ,0,1,16 ,DDR5,Intel,Integrated Arc,Shared/Unknown,Integrated,512 GB,SSD,Intel Core Ultra,Intel,,255H
